t,x,y,theta1,theta2,d3,phase
0.0502,0.0,0.25,0.585686,1.380811,0.0,start
0.1003,0.0,0.25,0.585686,1.380811,0.0,start
0.1502,0.0,0.25,0.585686,1.380811,0.0,start
0.2003,0.0,0.25,0.585686,1.380811,0.0,start
0.2502,0.0,0.25,0.585686,1.380811,0.0,start
0.3003,0.0,0.25,0.585686,1.380811,0.0,start
0.3503,0.0,0.25,0.585686,1.380811,0.0,start
0.4002,0.0,0.25,0.585686,1.380811,0.0,start
0.4503,0.0,0.25,0.585686,1.380811,0.0,start
0.5003,0.0,0.25,0.585686,1.380811,0.0,start
0.5503,0.0,0.25,0.585686,1.380811,0.0,start
0.6003,0.0,0.25,0.585686,1.380811,0.0,start
0.6502,0.0,0.25,0.585686,1.380811,0.0,start
0.7003,0.0,0.25,0.585686,1.380811,0.0,start
0.7503,0.0,0.25,0.585686,1.380811,0.0,start
0.8003,0.0,0.25,0.585686,1.380811,0.0,start
0.8503,0.0,0.25,0.585686,1.380811,0.0,start
0.9002,0.0,0.25,0.585686,1.380811,0.0,start
0.9503,0.0,0.25,0.585686,1.380811,0.0,start
1.0002,0.0,0.25,0.585686,1.380811,0.0,start
1.0502,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.1003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.1503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.2003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.2502,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.3003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.3502,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.4003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.4504,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.5003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.5503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.6002,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.6503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.7003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.7503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.8004,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.8504,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.9004,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
1.9504,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.0004,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.0503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.1003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.1504,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.2003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.2503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.3003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.3502,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.4003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.4503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.5003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.5503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.6003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.6503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.7003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.7503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.8004,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.8504,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.9004,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
2.9502,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.0004,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.0503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.1003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.1502,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.2003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.2503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.3004,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.3502,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.4002,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.4502,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.5004,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.5503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.6003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.6503,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.7003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.7504,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.8004,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.8504,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.9004,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
3.9504,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
4.0004,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
4.0504,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
4.1003,-0.05,0.2,0.568212,1.83582,0.0,move_from_home
